run,  run_length, dqm_ctag_inst, subruns, nearline_ctag_total
25894 0.0593287036754 451.852325581 495 31423350.3571
25895 0.00217592599802 453.8 18 312228.0
25896 0.0610069443937 437.904545455 495 31317042.5258
25897 0.0610300926492 434.981818182 496 31010020.0702
25898 0.060231481446 443.181609195 495 32148500.7519
25899 0.0602430555737 442.473563218 495 31672591.6854
25900 0.0556249999208 482.8625 495 34657215.7317
25901 0.0558101851493 464.687224488 495 34536042.6506
25902 0.0581712962594 444.158914643 495 32482846.3235
25903 0.0616087963572 413.528178876 496 29465306.56
25904 0.061875000014 386.53483009 495 31306174.7468
25905 0.0568750000093 333.234112915 449 24215185.5645
25906 0.0601736111566 447.494186047 495 31462576.0714
25907 0.0434143518796 401.955555556 350 22296250.0
25908 0.00526620366145 69.295 38 2181570.5
25916 0.0601967591792 428.632341046 496 31704868.2105
25917 0.060763888876 437.811363636 495 31347765.0
25918 0.060787037015 438.150574713 495 31019873.3036
25919 0.0610300925327 439.282386364 495 30529864.8947
25920 0.06143518514 408.312825227 495 29601607.9891
25921 0.0609143518377 436.601136364 496 31486741.3333
25922 0.0244907407323 443.525 200 12075973.3333
25923 0.0408101851353 384.00849661 337 22285803.7009
25925 0.0589351851959 342.292270247 496 32604008.8889
25926 0.0570138889598 472.276829268 495 32946428.8043
25927 0.013935185154 435.885 114 7603806.33333
25928 0.0548379629618 388.517721519 449 26861594.7899
25929 0.0600810184842 427.709418605 496 30284623.3333
25930 0.0586458332837 443.227058824 477 30029390.6447
25932 0.0368402778404 443.343396226 301 17488186.4257
25933 0.0258796296548 359.095948514 205 11317054.6711
25934 0.0148148149019 450.338095238 121 7170440.89474
25935 0.0609259259654 440.533579545 496 31929016.5517
25936 0.0612615740392 428.316152573 496 32146786.5043
25937 0.0611342592165 437.6375 495 30742326.5217
25938 0.0611342592165 435.627272727 495 31936485.5085
25939 0.0605092592305 447.129195402 495 31379318.7931
25940 0.0600925926119 453.257471264 496 31801606.8571
25941 0.0586226851447 449.147619048 478 30343943.6644
25947 0.0387847222155 447.058928571 317 19737315.7093
25948 0.00179398152977 395.5 15 970001.666667
25950 0.0609374999767 439.6875 495 30406111.7442
25951 0.0611111111939 410.532954545 495 27534030.0
25952 0.0611342592165 429.143863636 495 29514286.6071
25953 0.0601967591792 444.134883721 495 30961638.7826
25954 0.0617592593189 403.758595506 496 30376992.6737
25955 0.0593749999534 434.265882353 483 30083575.8879
25957 0.00170138897374 431.266666667 13 736093.428571
25959 0.0024305555271 439.55 19 1162678.875
25960 0.0617129629245 414.512359551 496 31522112.9412
25961 0.0596527777379 450.662790698 496 32106688.9505
25973 0.0299537037499 409.358139535 244 15571983.5349
25974 0.0102199073881 452.36 83 5369817.59756
25975 0.0101504629711 444.406666667 82 5368263.62963
25976 0.0100694445428 444.292857143 82 5354750.83951
25977 0.0101388889598 456.446666667 83 5487136.0
25978 0.010081018554 451.95 82 5406427.0
25980 0.034583333414 389.61187718 297 19908394.7264
25981 0.0561458333395 418.690364593 495 31197013.0645
25982 0.0551157406298 504.865 495 35068117.2527
25983 0.0353125000838 478.374509804 313 22117042.3864
25985 0.0592245369917 230.982406058 496 24939774.303
25987 0.0570486112265 371.413963659 495 27729615.375
25988 0.0560185185168 455.65947916 495 33210020.9709
25989 0.0498495370848 464.194583333 441 29944568.9326
25990 0.0343171296408 493.852 308 21374895.5814
25991 0.0552546295803 492.9175 495 34241939.0323
25992 0.0386574073927 498.196428571 348 24442433.9341
25994 0.0314814815065 465.766666667 279 19393086.6168
25996 0.0550347222015 505.350632911 495 35065596.5
25997 0.0346990741091 451.55904 306 21719218.186
25999 0.0550462962128 505.903797468 495 35089842.8571
26000 0.0562962963013 455.491430358 496 35187413.3333
26001 0.055127314874 501.320253165 496 35430412.7568
26002 0.00674768525641 404.8372 59 3732023.14815
26003 0.0558564815437 453.984526375 496 33733530.1149
26006 0.00212962960359 503.566666667 20 1376805.0
26009 0.0550115740625 507.229113924 495 35291979.0726
26010 0.0577430555131 478.254216867 496 33839552.7619
26011 0.061388888862 412.568188057 496 31475480.2963
26012 0.0606712963199 451.601149425 495 32551932.8571
26013 0.0646527777426 291.019924731 496 30950465.2632
26014 0.0665277778171 199.463164333 496 24022960.0
26015 0.0409837962361 405.838474576 351 24619482.931
26052 0.0158217592398 179.093673913 129 3882635.65574
26053 0.0257870369824 353.842967368 207 10719915.6774
26055 0.00343749998137 443.18 28 1785301.91304
26058 0.00674768525641 221.614 56 1825741.58491
